,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
74,Jonathan Burkardt,de GER,FWMF,Mainz 05,21,2000,34,32,2611,29.0,11,3,10,1,1,0,0,0.38,0.10,0.48,0.34,0.45,14.6,13.8,3.5,17.3,0.50,0.12,0.62,0.48,0.60,Matches,05f99a4a
75,Roman Bürki,ch SUI,GK,Dortmund,30,1990,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,9d12e142
76,Jamie Bynoe-Gittens,eng ENG,FW,Dortmund,16,2004,4,1,134,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.5,0.24,0.07,0.31,0.24,0.31,Matches,10745192
77,Daniel Caligiuri,it ITA,DFMF,Augsburg,33,1988,28,24,2004,22.3,4,2,1,3,3,4,0,0.18,0.09,0.27,0.04,0.13,4.6,2.3,2.5,4.8,0.21,0.11,0.32,0.10,0.21,Matches,d1273f09
78,Emre Can,de GER,DFMF,Dortmund,27,1994,24,19,1690,18.8,5,1,1,4,4,5,0,0.27,0.05,0.32,0.05,0.11,3.4,0.3,0.9,1.2,0.18,0.05,0.23,0.01,0.06,Matches,a65ce836
79,Koen Casteels,be BEL,GK,Wolfsburg,29,1992,28,28,2520,28.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,db401046
80,Gonzalo Castro,de GER,MFFW,Arminia,34,1987,12,4,436,4.8,1,1,1,0,0,0,0,0.21,0.21,0.41,0.21,0.41,0.9,0.9,0.4,1.3,0.18,0.08,0.26,0.18,0.26,Matches,68829001
81,Julian Chabot,de GER,DF,Köln,23,1998,4,2,209,2.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,ae7058f9
82,Timothy Chandler,us USA,DF,Eint Frankfurt,31,1990,17,15,1212,13.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.9,1.6,0.05,0.07,0.12,0.05,0.12,Matches,b3b7f5a6
83,Justin Che,us USA,FWDF,Hoffenheim,17,2003,2,0,41,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.30,0.00,0.30,0.30,0.30,Matches,3c569f37
84,Max Christiansen,de GER,MF,Greuther Fürth,24,1996,27,22,2054,22.8,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.7,1.2,0.02,0.03,0.05,0.02,0.05,Matches,e7b899b8
85,Kingsley Coman,fr FRA,FWDF,Bayern Munich,25,1996,21,16,1359,15.1,6,2,6,0,0,1,1,0.40,0.13,0.53,0.40,0.53,4.6,4.6,3.4,8.0,0.30,0.23,0.53,0.30,0.53,Matches,042e8a49
86,Lucas Copado,de GER,FW,Bayern Munich,17,2004,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.36,0.00,0.36,0.36,0.36,Matches,8356931a
87,Sergio Córdova,ve VEN,FWMF,Augsburg,23,1997,13,2,328,3.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.1,0.8,0.19,0.03,0.22,0.19,0.22,Matches,229cd98a
88,Danny da Costa,de GER,DFMF,Eint Frankfurt,28,1993,11,7,725,8.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.02,0.02,0.04,0.02,0.04,Matches,5ddb8f9f
89,Tanguy Coulibaly,fr FRA,FWMF,Stuttgart,20,2001,21,11,1079,12.0,0,1,0,0,0,8,0,0.00,0.08,0.08,0.00,0.08,1.2,1.2,1.0,2.2,0.10,0.08,0.19,0.10,0.19,Matches,05ba9d7c
90,Mickaël Cuisance,fr FRA,MF,Bayern Munich,21,1999,1,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.5,0.00,3.52,3.52,0.00,3.52,Matches,5722eced
91,Matheus Cunha,br BRA,FW,Hertha BSC,22,1999,1,1,64,0.7,0,1,0,0,0,0,0,0.00,1.41,1.41,0.00,1.41,0.2,0.2,0.9,1.1,0.28,1.26,1.54,0.28,1.54,Matches,dc62b55d
92,Rafael Czichos,de GER,DF,Köln,31,1990,17,16,1402,15.6,0,1,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,0.1,0.1,0.3,0.4,0.01,0.02,0.03,0.01,0.03,Matches,b0a0698b
93,Lennart-Marten Czyborra,de GER,DF,Arminia,22,1999,4,1,131,1.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,7ba1f1ef
94,Moanes Dabbur,il ISR,FWMF,Hoffenheim,29,1992,27,17,1310,14.6,3,4,3,0,0,5,0,0.21,0.27,0.48,0.21,0.48,5.1,5.1,2.8,7.8,0.35,0.19,0.54,0.35,0.54,Matches,eac044ad
95,Finn Dahmen,de GER,GK,Mainz 05,23,1998,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,dee3013b
96,Mahmoud Dahoud,de GER,MF,Dortmund,25,1996,22,20,1658,18.4,2,3,2,0,0,7,1,0.11,0.16,0.27,0.11,0.27,1.3,1.3,3.3,4.6,0.07,0.18,0.25,0.07,0.25,Matches,db4ed67b
97,Márton Dárdai,de GER,DF,Hertha BSC,19,2002,12,9,755,8.4,0,1,0,0,0,2,0,0.00,0.12,0.12,0.00,0.12,0.2,0.2,0.2,0.4,0.02,0.03,0.05,0.02,0.05,Matches,41bff4fa
98,Vladimír Darida,cz CZE,MF,Hertha BSC,30,1990,25,23,1786,19.8,2,5,2,0,0,6,0,0.10,0.25,0.35,0.10,0.35,1.9,1.9,3.5,5.4,0.10,0.17,0.27,0.10,0.27,Matches,3eb0f2df
99,Alphonso Davies,ca CAN,DF,Bayern Munich,20,2000,22,20,1740,19.3,0,3,0,0,0,3,0,0.00,0.16,0.16,0.00,0.16,2.2,2.2,4.1,6.3,0.11,0.21,0.33,0.11,0.33,Matches,d781d855
100,Saulo Decarli,ch SUI,DF,Bochum,29,1992,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.54,0.00,0.54,0.54,0.54,Matches,41df88b8
