,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
1,Dickson Abiama,ng NGA,FW,Greuther Fürth,22,1998,8.1,0,18,4,22.2,2.23,0.50,0.00,0.00,16.7,0,0,0,2.1,2.1,0.12,-2.1,-2.1,Matches,cadd666a
2,Ragnar Ache,de GER,MFFW,Eint Frankfurt,23,1998,2.9,0,10,2,20.0,3.47,0.69,0.00,0.00,16.1,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches,dc38e3bc
3,Tyler Adams,us USA,MF,RB Leipzig,22,1999,15.0,0,2,0,0.0,0.13,0.00,0.00,,21.6,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches,2b09d998
4,Sargis Adamyan,am ARM,FWMF,Hoffenheim,28,1993,3.7,1,3,2,66.7,0.82,0.54,0.33,0.50,17.2,0,0,0,0.4,0.4,0.15,+0.6,+0.6,Matches,22919e97
5,Amine Adli,fr FRA,FWMF,Leverkusen,21,2000,14.0,3,37,19,51.4,2.65,1.36,0.08,0.16,15.1,0,0,0,4.8,4.8,0.13,-1.8,-1.8,Matches,dcfb17f4
6,Naouirou Ahamada,fr FRA,MFDF,Stuttgart,19,2002,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a6c58494
7,Manuel Akanji,ch SUI,DF,Dortmund,26,1995,25.1,1,13,3,23.1,0.52,0.12,0.08,0.33,11.2,1,0,0,1.9,1.9,0.15,-0.9,-0.9,Matches,89ac64a6
8,Kevin Akpoguma,ng NGA,DFFW,Hoffenheim,26,1995,17.0,2,12,4,33.3,0.71,0.24,0.17,0.50,12.8,0,0,0,1.4,1.4,0.12,+0.6,+0.6,Matches,6ec6fde0
9,Lucas Alario,ar ARG,FW,Leverkusen,28,1992,7.3,6,22,13,59.1,3.02,1.79,0.27,0.46,11.7,0,0,1,6.2,5.4,0.25,-0.2,+0.6,Matches,834d0be5
10,Nadiem Amiri,de GER,MFFW,Leverkusen,24,1996,4.1,1,8,2,25.0,1.95,0.49,0.13,0.50,21.1,1,0,0,0.5,0.5,0.07,+0.5,+0.5,Matches,555d5edd
11,Sebastian Andersson,se SWE,FW,Köln,30,1991,14.0,3,35,12,34.3,2.51,0.86,0.09,0.25,11.8,0,0,0,4.6,4.6,0.13,-1.6,-1.6,Matches,b4cf5806
12,Andrés Andrade Cedeño,pa PAN,DF,Arminia,22,1998,11.6,0,7,3,42.9,0.60,0.26,0.00,0.00,19.6,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches,6ea23758
13,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,22,1998,3.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,3724baa1
14,Robert Andrich,de GER,MF,Leverkusen,26,1994,20.2,4,30,7,23.3,1.49,0.35,0.13,0.57,18.4,1,0,0,3.8,3.4,0.11,+0.2,+0.6,Matches,e0b113a7
15,Angeliño,es ESP,DF,RB Leipzig,24,1997,25.5,2,12,6,50.0,0.47,0.23,0.17,0.33,16.1,0,0,0,1.1,1.1,0.09,+0.9,+0.9,Matches,30941e96
16,Waldemar Anton,de GER,DF,Stuttgart,25,1996,28.8,2,24,6,25.0,0.83,0.21,0.08,0.33,14.1,0,0,0,2.4,2.4,0.10,-0.4,-0.4,Matches,5e66fa06
17,Christopher Antwi-Adjei,gh GHA,FWMF,Bochum,27,1994,12.6,1,29,10,34.5,2.31,0.80,0.03,0.10,14.9,0,0,0,2.8,2.8,0.10,-1.8,-1.8,Matches,0a3f6cde
18,Charles Aránguiz,cl CHI,MF,Leverkusen,32,1989,17.5,1,10,3,30.0,0.57,0.17,0.10,0.33,19.6,0,0,0,1.7,1.7,0.17,-0.7,-0.7,Matches,56413b1f
