,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999
450,Djibril Sow,ch SUI,MF,Eint Frankfurt,24,1997,26.8,58,2.16,45,2,0,2,4,5,7,0.26,6,0,0,0,1,0,Matches,4c6facae
451,Jerry St. Juste,nl NED,DF,Mainz 05,24,1996,6.7,14,2.09,7,0,0,3,1,3,0,0.00,0,0,0,0,0,0,Matches,90339309
452,Anton Stach,de GER,MF,Mainz 05,22,1998,20.7,57,2.76,33,10,2,5,7,0,10,0.48,8,1,0,1,0,0,Matches,0f59a7bf
453,Kostas Stafylidis,gr GRE,DFMF,Bochum,27,1993,15.4,36,2.33,15,14,1,3,0,3,3,0.19,0,1,0,1,0,1,Matches,861e0116
454,Josip Stanišić,hr CRO,DF,Bayern Munich,21,2000,7.2,17,2.37,14,1,0,2,0,0,1,0.14,0,0,0,1,0,0,Matches,7ed08d5c
455,Niklas Stark,de GER,DF,Hertha BSC,26,1995,22.6,13,0.58,10,1,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches,aad48be9
456,Renato Steffen,ch SUI,FWMF,Wolfsburg,29,1991,10.7,35,3.26,26,1,1,1,4,2,2,0.19,1,0,0,1,0,0,Matches,dd669209
457,Pascal Stenzel,de GER,DF,Stuttgart,25,1996,10.0,18,1.81,14,3,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,99f7e9aa
458,Angelo Stiller,de GER,MF,Hoffenheim,20,2001,18.8,31,1.65,29,0,0,2,0,0,4,0.21,4,0,0,0,0,0,Matches,3b1ed320
459,Lars Stindl,de GER,MFFW,M'Gladbach,32,1988,18.1,63,3.48,52,2,1,5,1,2,7,0.39,7,0,0,0,0,0,Matches,7cd6badb
460,Kevin Stöger,at AUT,MF,Mainz 05,27,1993,4.7,33,7.05,22,5,1,4,1,0,1,0.21,1,0,0,0,0,0,Matches,e5649a78
461,Tobias Strobl,de GER,MFDF,Augsburg,31,1990,3.6,7,1.95,4,0,0,1,1,1,0,0.00,0,0,0,0,0,0,Matches,17780d2b
462,Niklas Süle,de GER,DF,Bayern Munich,25,1995,20.4,27,1.32,21,1,2,3,0,0,5,0.25,4,0,0,1,0,0,Matches,e33c06cf
463,Ádám Szalai,hu HUN,FW,Mainz 05,33,1987,2.9,5,1.73,4,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,53e07d0b
464,Dominik Szoboszlai,hu HUN,MFFW,RB Leipzig,20,2000,17.1,76,4.44,44,25,3,2,2,0,13,0.76,7,5,1,0,0,0,Matches,934e1968
