,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Blocks,Blocks,Blocks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
92,Davide Calabria,it ITA,DF,Milan,24,1996,23.5,62,37,31,23,8,37,72,51.4,35,25,5,20,23,85,40,1,Matches,2146785a
93,Riccardo Calafiori,it ITA,DF,Genoa,19,2002,0.9,1,0,0,0,1,1,2,50.0,1,2,1,1,2,3,4,0,Matches,aded8e6f
94,Riccardo Calafiori,it ITA,DF,Roma,19,2002,1.9,5,4,2,2,1,1,5,20.0,4,3,0,3,3,8,1,0,Matches,aded8e6f
95,Mattia Caldara,it ITA,DF,Venezia,27,1994,30.0,48,28,30,15,3,20,34,58.8,14,49,37,12,62,110,147,1,Matches,ac7e640b
96,Hakan Çalhanoğlu,tr TUR,MF,Inter,27,1994,27.6,41,23,16,19,6,11,40,27.5,29,29,5,24,25,66,12,0,Matches,cd0fa27b
97,José Callejón,es ESP,FW,Fiorentina,34,1987,14.4,15,6,6,6,3,13,31,41.9,18,6,0,6,3,18,1,1,Matches,78841da9
98,Andrea Cambiaso,it ITA,DF,Genoa,21,2000,19.9,46,20,28,14,4,18,32,56.3,14,33,8,25,23,69,37,1,Matches,247ed022
99,Matteo Cancellieri,it ITA,MFDF,Hellas Verona,19,2002,2.5,4,4,2,2,0,0,5,0.0,5,2,0,2,1,5,0,0,Matches,b6a1cdf9
100,Antonio Candreva,it ITA,MFFW,Sampdoria,34,1987,34.7,27,16,9,11,7,19,55,34.5,36,23,2,21,33,60,19,0,Matches,356c9002
101,Leonardo Capezzi,it ITA,MF,Salernitana,26,1995,1.9,3,1,0,3,0,1,4,25.0,3,8,4,4,0,3,2,0,Matches,07ea0ef2
102,Gianluca Caprari,it ITA,MFFW,Hellas Verona,28,1993,30.4,43,25,10,22,11,17,51,33.3,34,32,0,32,4,47,7,0,Matches,54e53b7e
103,Francesco Caputo,it ITA,FW,Sampdoria,33,1987,31.0,5,2,1,3,1,1,6,16.7,5,5,0,5,2,7,10,0,Matches,5bd72174
104,Francesco Caputo,it ITA,FW,Sassuolo,33,1987,1.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,5bd72174
105,Andrea Carboni,it ITA,DF,Cagliari,20,2001,24.6,53,24,33,16,4,19,42,45.2,23,42,15,27,27,80,87,0,Matches,f7e2af2c
106,Nicolò Casale,it ITA,DF,Hellas Verona,23,1998,28.7,46,30,25,19,2,21,37,56.8,16,31,12,19,49,95,95,0,Matches,3f5f38fb
107,Francesco Cassata,it ITA,MF,Genoa,24,1997,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,96960855
