name,population
Titonka city,495
Toeterville CDP,46
Toledo city,"2,391"
Toronto city,102
Traer city,"1,550"
Trenton CDP,65
Treynor city,"1,090"
Tripoli city,"1,204"
Truesdale city,64
Truro city,525
Turin city,70
Twin Lakes CDP,511
Udell city,31
Underwood city,959
Union city,384
Unionville city,75
University Heights city,"1,209"
University Park city,477
Urbana city,"1,614"
Urbandale city,"46,648"
Ute city,329
Vail city,379
Valeria city,39
Van Horne city,772
Van Meter city,"1,556"
Van Wert city,178
Varina city,68
Ventura city,700
Victor city,854
Villisca city,"1,113"
Vincent city,127
Vining city,52
Vinton city,"4,949"
Volga city,202
Wadena city,205
Wahpeton city,346
Walcott city,"1,545"
Walford city,"1,358"
Walker city,673
Wall Lake city,750
Wallingford city,153
Walnut city,728
Wapello city,"2,037"
Washburn CDP,664
Washington city,"7,277"
Washta city,205
Waterloo city,"66,562"
Waterville city,107
Watkins CDP,73
Waucoma city,229
Waukee city,"29,167"
Waukon city,"3,751"
Waverly city,"10,522"
Wayland city,950
Webb city,141
Webster City city,"7,750"
Webster city,95
Weldon city,138
Wellman city,"1,523"
Wellsburg city,718
Welton city,127
Wesley city,383
West Amana CDP,115
West Bend city,775
West Branch city,"2,653"
West Burlington city,"3,162"
West Chester city,146
West Des Moines city,"70,741"
West Liberty city,"3,751"
West Okoboji city,310
West Point city,913
West Union city,"2,449"
Westfield city,121
Westgate city,191
Weston CDP,90
Westphalia city,130
Westside city,277
Westwood city,100
Wever CDP,127
What Cheer city,597
Wheatland city,771
Whiting city,725
Whittemore city,482
Whitten city,98
Willey city,72
Williams city,301
Williamsburg city,"3,350"
Williamson city,122
Wilton city,"2,939"
Windsor Heights city,"5,109"
Winfield city,"1,019"
Winterset city,"5,455"
Winthrop city,822
Wiota city,91
Woden city,184
Woodbine city,"1,624"
Woodburn city,138
Woodward city,"1,365"
Woolstock city,140
Worthington city,374
Wyoming city,533
Yale city,265
Yarmouth CDP,74
Yetter city,20
Yorktown city,61
Zearing city,533
Zwingle city,86
