,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Blocks,Blocks,Blocks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
113,Fali Candé,gw GNB,DF,Metz,23,1998,10.8,30,18,13,15,2,13,31,41.9,18,11,2,9,6,36,21,0,Matches,3cc4bb19
114,Pierrick Capelle,fr FRA,MFDF,Angers,34,1987,13.3,36,24,16,17,3,18,52,34.6,34,12,1,11,16,52,20,0,Matches,79b2399c
115,Maxence Caqueret,fr FRA,MF,Lyon,21,2000,25.9,73,40,29,36,8,30,80,37.5,50,38,10,28,43,116,26,2,Matches,f81ef10d
116,Irvin Cardona,fr FRA,FWMF,Brest,23,1997,14.8,13,7,5,4,4,3,16,18.8,13,10,0,10,5,18,17,0,Matches,5e080f73
117,Igor Carioca,br BRA,DF,Lorient,24,1996,17.5,27,16,16,8,3,15,43,34.9,28,17,2,15,25,52,28,0,Matches,e3e32fbb
118,Moreto Cassamã,gw GNB,MF,Reims,23,1998,8.9,12,6,7,4,1,3,19,15.8,16,10,5,5,9,21,5,0,Matches,f54d2149
119,Jean-Charles Castelletto,cm CMR,DF,Nantes,26,1995,27.9,45,24,27,17,1,25,35,71.4,10,38,27,11,30,75,73,0,Matches,e0f3a1f6
120,Zeki Çelik,tr TUR,DF,Lille,24,1997,30.0,64,37,43,17,4,36,63,57.1,27,32,9,23,43,107,62,2,Matches,31a62dc7
121,Fabien Centonze,fr FRA,DF,Metz,25,1996,17.6,33,21,22,9,2,13,32,40.6,19,37,8,29,32,65,51,0,Matches,3c6bbbab
122,Leonardo César Jardim,br BRA,GK,Lille,26,1995,17.0,,0,,,,,,,,,,,1,,,,Matches,f5dfc256
123,El Chadaille Bitshiabu,fr FRA,DF,Paris S-G,16,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches,2180c761
124,Nassim Chadli,fr FRA,MFDF,Troyes,20,2001,1.1,5,3,3,0,2,2,4,50.0,2,1,0,1,0,5,0,0,Matches,5c61496e
125,Mehdi Chahiri,ma MAR,DF,Strasbourg,25,1996,0.2,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches,1787195f
126,Dylan Chambost,fr FRA,MFFW,Troyes,23,1997,8.4,16,11,6,9,1,4,25,16.0,21,9,2,7,9,25,4,0,Matches,dbde4959
127,Brendan Chardonnet,fr FRA,DF,Brest,26,1994,29.8,44,25,32,11,1,29,40,72.5,11,42,29,13,55,99,141,0,Matches,16aa7d4c
128,Xavier Chavalerin,fr FRA,MF,Troyes,30,1991,30.2,49,26,19,25,5,12,55,21.8,43,32,5,27,38,87,36,0,Matches,279ddf6a
129,Xavier Chavalerin,fr FRA,MF,Reims,30,1991,2.4,4,4,2,1,1,1,3,33.3,2,2,0,2,5,9,2,1,Matches,279ddf6a
130,Rayan Cherki,fr FRA,FWMF,Lyon,17,2003,4.9,6,2,1,3,2,4,9,44.4,5,2,0,2,1,7,0,0,Matches,b34c63a5
131,Pedro Chirivella,es ESP,MF,Nantes,24,1997,29.3,49,31,14,26,9,25,70,35.7,45,23,2,21,37,86,11,0,Matches,68a26d51
132,Joris Chotard,fr FRA,MF,Montpellier,19,2001,32.6,59,30,33,23,3,36,78,46.2,42,27,15,12,42,101,56,0,Matches,7909ffa4
133,Alexis Claude-Maurice,fr FRA,MF,Nice,23,1998,2.3,2,0,1,0,1,1,4,25.0,3,7,0,7,3,5,1,0,Matches,741418c3
134,Jonathan Clauss,fr FRA,DF,Lens,28,1992,33.8,63,34,33,20,10,23,56,41.1,33,43,1,42,73,136,51,0,Matches,5219ab4a
135,Marcus Coco,fr FRA,MFFW,Nantes,25,1996,10.3,34,14,17,11,6,8,18,44.4,10,11,1,10,10,44,15,0,Matches,3010aefb
136,Abdu Conté,pt POR,DF,Troyes,23,1998,15.0,22,12,16,5,1,12,24,50.0,12,12,2,10,4,26,10,0,Matches,cfa49cc1
137,Sébastien Corchia,fr FRA,DF,Nantes,30,1990,14.7,33,20,17,11,5,24,42,57.1,18,24,3,21,13,46,36,0,Matches,0e7ccfc4
138,Maxwel Cornet,ci CIV,DF,Lyon,24,1996,0.7,3,1,1,0,2,3,4,75.0,1,0,0,0,1,4,1,0,Matches,beb391dd
139,David Pereira da Costa,pt POR,MFFW,Lens,20,2001,16.3,22,12,9,6,7,11,26,42.3,15,12,0,12,13,35,5,0,Matches,59948ef7
140,Benoît Costil,fr FRA,GK,Bordeaux,34,1987,25.0,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,6,3,Matches,2434f24a
141,Kalifa Coulibaly,ml MLI,FW,Nantes,29,1991,9.4,5,1,1,1,3,0,4,0.0,4,2,2,0,0,5,11,0,Matches,9980269a
142,Nicolas Cozza,fr FRA,DF,Montpellier,22,1999,30.8,80,47,50,23,7,35,65,53.8,30,35,19,16,38,118,82,1,Matches,8f325097
143,Enzo Crivelli,fr FRA,FWMF,Saint-Étienne,26,1995,1.1,1,0,0,0,1,0,0,,0,0,0,0,0,1,1,0,Matches,06f33dc8
144,Wylan Cyprien,fr FRA,MF,Nantes,26,1995,16.6,33,17,12,18,3,13,32,40.6,19,16,6,10,10,43,14,2,Matches,3e092724
145,Lucas Da Cunha,fr FRA,MF,Nice,20,2001,4.4,13,7,2,7,4,6,11,54.5,5,2,0,2,1,14,2,0,Matches,007faf7a
146,Lucas Da Cunha,fr FRA,FWMF,Clermont Foot,20,2001,9.3,17,11,5,8,4,9,18,50.0,9,13,0,13,1,18,3,0,Matches,007faf7a
147,Damien Da Silva,fr FRA,DF,Lyon,33,1988,12.5,13,9,7,5,1,5,9,55.6,4,15,10,5,22,35,53,1,Matches,1ec7e1c5
148,Colin Dagba,fr FRA,DF,Paris S-G,22,1998,1.8,4,2,2,2,0,3,6,50.0,3,4,2,2,2,6,1,0,Matches,29c02c9f
149,Flavius Daniliuc,at AUT,DF,Nice,20,2001,14.4,46,31,26,17,3,34,43,79.1,9,13,7,6,14,60,34,1,Matches,7ef972c3
150,Kevin Danso,at AUT,DF,Lens,22,1998,31.0,41,29,29,12,0,23,34,67.6,11,38,25,13,40,81,111,0,Matches,6e33125f
151,Dante,br BRA,DF,Nice,37,1983,31.9,42,29,30,12,0,23,33,69.7,10,43,27,16,49,91,96,1,Matches,fd2bc67d
152,Jonathan David,ca CAN,FW,Lille,21,2000,31.2,24,9,7,11,6,9,30,30.0,21,14,4,10,5,29,15,0,Matches,ce50fd99
153,Konrad De La Fuente,us USA,FWMF,Marseille,20,2001,8.7,11,7,8,2,1,7,11,63.6,4,5,0,5,2,13,4,0,Matches,4b77bb89
154,Romain Del Castillo,fr FRA,MFFW,Rennes,25,1996,0.3,2,1,0,1,1,2,2,100.0,0,0,0,0,1,3,0,0,Matches,0be95d34
155,Romain Del Castillo,fr FRA,MFFW,Brest,25,1996,10.8,27,16,3,17,7,12,31,38.7,19,12,0,12,7,34,3,0,Matches,0be95d34
156,Thomas Delaine,fr FRA,DF,Metz,29,1992,25.7,48,35,34,12,2,22,42,52.4,20,20,7,13,27,75,31,0,Matches,8332db56
157,Sacha Delaye,fr FRA,MFFW,Montpellier,19,2002,2.9,8,6,3,2,3,2,8,25.0,6,1,0,1,1,9,1,1,Matches,e4448c8c
158,Andy Delort,dz ALG,FW,Nice,29,1991,27.2,15,9,3,5,7,7,12,58.3,5,13,4,9,9,24,14,0,Matches,d33c706e
159,Andy Delort,dz ALG,FW,Montpellier,29,1991,3.0,2,0,0,1,1,0,1,0.0,1,1,0,1,0,2,4,0,Matches,d33c706e
160,Moussa Dembélé,fr FRA,FW,Lyon,25,1996,24.5,18,9,5,5,8,6,15,40.0,9,13,0,13,8,26,30,1,Matches,e7986081
161,Jason Denayer,be BEL,DF,Lyon,26,1995,11.1,11,4,8,3,0,6,7,85.7,1,8,7,1,16,27,52,0,Matches,47af88b8
162,Arthur Desmas,fr FRA,GK,Clermont Foot,27,1994,14.5,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,1,3,Matches,e8c5dd4d
163,Ángel Di María,ar ARG,FW,Paris S-G,33,1988,18.3,29,18,6,13,10,14,37,37.8,23,17,0,17,6,35,3,0,Matches,19cda00b
