,,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Performance,Performance,Expected,Expected,Expected,Expected,Expected,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
71,Giulian Biancone,fr FRA,DFMF,Troyes,21,2000,25.5,1,28,9,32.1,1.10,0.35,0.04,0.11,18.3,1,0,0,2.2,2.2,0.08,-1.2,-1.2,Matches,de40e38c
72,El Bilal Touré,ml MLI,FW,Reims,19,2001,13.3,2,32,10,31.3,2.41,0.75,0.03,0.10,14.0,0,1,1,4.7,3.9,0.12,-2.7,-2.9,Matches,47c609d5
73,Jean-Claude Billong,cm CMR,DF,Clermont Foot,27,1993,10.9,0,5,1,20.0,0.46,0.09,0.00,0.00,10.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,a3e1d20d
74,Nathan Bitu Mazala,fr FRA,DF,Paris S-G,18,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,0f697e02
75,Marco Bizot,nl NED,GK,Brest,30,1991,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,3d214e5f
76,Ludovic Blas,fr FRA,MFFW,Nantes,23,1997,32.9,10,85,32,37.6,2.58,0.97,0.06,0.16,20.6,1,5,5,12.1,8.2,0.10,-2.1,-3.2,Matches,6191093d
77,Myron Boadu,nl NED,FW,Monaco,20,2001,10.7,4,21,8,38.1,1.97,0.75,0.19,0.50,10.5,0,0,0,5.8,5.8,0.28,-1.8,-1.8,Matches,5b479568
78,Jérôme Boateng,de GER,DF,Lyon,32,1988,18.0,0,5,3,60.0,0.28,0.17,0.00,0.00,17.9,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches,2db2fd7b
79,Antonin Bobichon,fr FRA,MFFW,Angers,25,1995,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7d937aa1
80,Quentin Boisgard,fr FRA,MFFW,Lorient,24,1997,10.6,1,16,8,50.0,1.50,0.75,0.06,0.13,24.6,1,0,0,1.1,1.1,0.07,-0.1,-0.1,Matches,f6496133
81,Charles Boli,fr FRA,MFDF,Lens,22,1998,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,bbdd999a
82,Sven Botman,nl NED,DF,Lille,21,2000,25.0,3,15,5,33.3,0.60,0.20,0.20,0.60,10.8,0,0,0,1.8,1.8,0.12,+1.2,+1.2,Matches,ccce7025
83,Denis Bouanga,ga GAB,FWMF,Saint-Étienne,26,1994,27.1,9,84,30,35.7,3.10,1.11,0.11,0.30,18.9,4,0,0,8.7,8.7,0.10,+0.3,+0.3,Matches,0b0cbe5b
84,Hicham Boudaoui,dz ALG,MF,Nice,21,1999,18.0,3,16,5,31.3,0.89,0.28,0.19,0.60,18.1,0,0,0,1.5,1.5,0.09,+1.5,+1.5,Matches,f9d5908e
85,Ryad Boudebouz,dz ALG,MFFW,Saint-Étienne,31,1990,25.0,3,27,9,33.3,1.08,0.36,0.07,0.22,24.7,7,1,1,2.5,1.7,0.06,+0.5,+0.3,Matches,1001ae82
86,Sofiane Boufal,ma MAR,FWMF,Angers,27,1993,25.9,8,60,24,40.0,2.32,0.93,0.08,0.21,21.7,10,3,3,9.2,6.9,0.12,-1.2,-1.9,Matches,b0c71810
87,Farid Boulaya,dz ALG,MFFW,Metz,28,1993,17.0,4,19,6,31.6,1.12,0.35,0.21,0.67,24.2,6,0,0,1.9,1.9,0.10,+2.1,+2.1,Matches,a0791826
88,Ismaëlben Boura,fr FRA,DF,Lens,20,2000,1.1,0,1,0,0.0,0.95,0.00,0.00,,32.3,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,62e02107
89,Benjamin Bourigeaud,fr FRA,FWMF,Rennes,27,1994,35.5,11,51,21,41.2,1.44,0.59,0.22,0.52,17.3,8,0,0,6.3,6.3,0.12,+4.7,+4.7,Matches,20e73fac
90,Redwan Bourles,fr FRA,MFFW,Lorient,18,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,5c7895a0
91,Domagoj Bradarić,hr CRO,DF,Lille,21,1999,4.6,0,1,0,0.0,0.22,0.00,0.00,,21.5,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches,8bbe2df5
92,Bilal Brahimi,dz ALG,MF,Nice,21,2000,4.2,0,4,0,0.0,0.95,0.00,0.00,,14.5,0,0,0,0.6,0.6,0.15,-0.6,-0.6,Matches,02bcaf8e
93,Bilal Brahimi,dz ALG,FW,Angers,21,2000,3.8,0,6,2,33.3,1.60,0.53,0.00,0.00,17.7,0,0,0,0.6,0.6,0.11,-0.6,-0.6,Matches,02bcaf8e
94,Lilian Brassier,fr FRA,DF,Brest,21,1999,25.1,1,11,2,18.2,0.44,0.08,0.09,0.50,18.5,0,0,0,1.1,1.1,0.10,-0.1,-0.1,Matches,5b146df3
95,Jimmy Briand,fr FRA,FWMF,Bordeaux,35,1985,2.5,2,8,2,25.0,3.19,0.80,0.13,0.50,17.2,0,1,2,2.6,1.0,0.13,-0.6,0.0,Matches,f83c8d6c
96,Dylan Bronn,tn TUN,DF,Metz,26,1995,28.3,1,15,7,46.7,0.53,0.25,0.07,0.14,13.6,0,0,0,2.0,2.0,0.13,-1.0,-1.0,Matches,edd81e2a
97,Osman Bukari,gh GHA,FWMF,Nantes,22,1998,11.2,2,20,9,45.0,1.78,0.80,0.10,0.22,18.2,0,0,0,2.0,2.0,0.10,0.0,0.0,Matches,eab85789
98,Maxime Busi,be BEL,DF,Reims,21,1999,14.4,1,6,2,33.3,0.42,0.14,0.17,0.50,13.6,0,0,0,0.6,0.6,0.10,+0.4,+0.4,Matches,7b082ec2
99,Oriol Busquets,es ESP,MF,Clermont Foot,22,1999,2.2,0,1,0,0.0,0.45,0.00,0.00,,23.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,49712367
100,Marcin Bułka,pl POL,GK,Nice,21,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,db87a2c4
101,Rémy Cabella,fr FRA,MFFW,Montpellier,31,1990,3.5,0,2,0,0.0,0.58,0.00,0.00,,10.3,0,0,0,0.3,0.3,0.17,-0.3,-0.3,Matches,148e136f
102,Jimmy Cabot,fr FRA,DF,Angers,27,1994,22.3,0,11,3,27.3,0.49,0.13,0.00,0.00,22.4,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches,46359159
103,Anthony Caci,fr FRA,DF,Strasbourg,24,1997,26.6,1,15,4,26.7,0.56,0.15,0.07,0.25,18.1,0,0,0,1.6,1.6,0.10,-0.6,-0.6,Matches,0118c54c
104,Mathieu Cafaro,fr FRA,MFFW,Reims,24,1997,2.1,0,6,2,33.3,2.81,0.94,0.00,0.00,22.5,1,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches,2a657da0
105,Yannick Cahuzac,fr FRA,MF,Lens,36,1985,6.9,0,1,0,0.0,0.15,0.00,0.00,,17.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,677ee102
106,Marc-Aurèle Caillard,fr FRA,GK,Metz,27,1994,17.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,5ee6e943
107,Jens Cajuste,se SWE,MFFW,Reims,21,1999,4.0,2,8,6,75.0,1.98,1.48,0.13,0.17,16.9,0,1,1,1.8,1.0,0.13,+0.2,0.0,Matches,928a4a61
108,Duje Ćaleta-Car,hr CRO,DF,Marseille,24,1996,22.9,2,12,4,33.3,0.53,0.18,0.17,0.50,10.6,0,0,0,2.1,2.1,0.18,-0.1,-0.1,Matches,94f8d10c
109,Lucas Calodat,fr FRA,DF,Saint-Étienne,19,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7a72e960
110,Mahdi Camara,fr FRA,MFDF,Saint-Étienne,23,1998,34.1,3,28,15,53.6,0.82,0.44,0.11,0.20,18.7,0,0,0,2.9,2.9,0.10,+0.1,+0.1,Matches,8577e60a
111,Mamadou Camara,fr FRA,FW,Troyes,20,2001,0.4,0,1,1,100.0,2.25,2.25,0.00,0.00,12.6,0,0,0,0.1,0.1,0.13,-0.1,-0.1,Matches,316e70c7
112,Eduardo Camavinga,fr FRA,MF,Rennes,18,2002,1.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7b9c2d84
113,Fali Candé,gw GNB,DF,Metz,23,1998,10.8,0,6,2,33.3,0.55,0.18,0.00,0.00,27.0,3,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,3cc4bb19
114,Pierrick Capelle,fr FRA,MFDF,Angers,34,1987,13.3,0,17,1,5.9,1.28,0.08,0.00,0.00,19.5,0,0,0,1.6,1.6,0.10,-1.6,-1.6,Matches,79b2399c
115,Maxence Caqueret,fr FRA,MF,Lyon,21,2000,25.9,0,15,2,13.3,0.58,0.08,0.00,0.00,22.3,0,0,0,1.0,1.0,0.06,-1.0,-1.0,Matches,f81ef10d
116,Irvin Cardona,fr FRA,FWMF,Brest,23,1997,14.8,4,26,12,46.2,1.75,0.81,0.15,0.33,15.4,0,0,0,3.4,3.4,0.13,+0.6,+0.6,Matches,5e080f73
117,Igor Carioca,br BRA,DF,Lorient,24,1996,17.5,0,14,6,42.9,0.80,0.34,0.00,0.00,22.7,0,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches,e3e32fbb
118,Moreto Cassamã,gw GNB,MF,Reims,23,1998,8.9,2,11,7,63.6,1.24,0.79,0.18,0.29,26.8,0,0,0,0.7,0.7,0.06,+1.3,+1.3,Matches,f54d2149
119,Jean-Charles Castelletto,cm CMR,DF,Nantes,26,1995,27.9,1,16,4,25.0,0.57,0.14,0.06,0.25,10.8,0,0,0,1.9,1.9,0.12,-0.9,-0.9,Matches,e0f3a1f6
120,Zeki Çelik,tr TUR,DF,Lille,24,1997,30.0,2,23,3,13.0,0.77,0.10,0.09,0.67,19.5,0,0,0,1.6,1.6,0.07,+0.4,+0.4,Matches,31a62dc7
121,Fabien Centonze,fr FRA,DF,Metz,25,1996,17.6,4,15,7,46.7,0.85,0.40,0.27,0.57,20.8,0,0,0,1.0,1.0,0.07,+3.0,+3.0,Matches,3c6bbbab
122,Leonardo César Jardim,br BRA,GK,Lille,26,1995,17.0,0,0,0,,0.00,0.00,,,,,0,0,,,,,,Matches,f5dfc256
123,El Chadaille Bitshiabu,fr FRA,DF,Paris S-G,16,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2180c761
124,Nassim Chadli,fr FRA,MFDF,Troyes,20,2001,1.1,0,2,0,0.0,1.87,0.00,0.00,,22.2,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches,5c61496e
125,Mehdi Chahiri,ma MAR,DF,Strasbourg,25,1996,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,1787195f
126,Dylan Chambost,fr FRA,MFFW,Troyes,23,1997,8.4,0,10,1,10.0,1.20,0.12,0.00,0.00,20.6,1,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches,dbde4959
127,Brendan Chardonnet,fr FRA,DF,Brest,26,1994,29.8,3,14,6,42.9,0.47,0.20,0.21,0.50,13.7,0,0,0,1.8,1.8,0.13,+1.2,+1.2,Matches,16aa7d4c
128,Xavier Chavalerin,fr FRA,MF,Troyes,30,1991,30.2,5,31,10,32.3,1.03,0.33,0.16,0.50,19.0,0,0,0,1.9,1.9,0.06,+3.1,+3.1,Matches,279ddf6a
129,Xavier Chavalerin,fr FRA,MF,Reims,30,1991,2.4,0,3,0,0.0,1.23,0.00,0.00,,19.4,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches,279ddf6a
130,Rayan Cherki,fr FRA,FWMF,Lyon,17,2003,4.9,0,14,3,21.4,2.86,0.61,0.00,0.00,21.2,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches,b34c63a5
