,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999
365,Castello Lukeba,fr FRA,DF,Lyon,18,2002,23.3,15,0.64,11,0,0,1,0,3,0,0.00,0,0,0,0,0,0,Matches,5b9512c5
366,Levi Lumeka,eng ENG,MFFW,Troyes,22,1998,0.7,1,1.32,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,199ff86e
367,Yannis M'Bemba,fr FRA,DFFW,Nantes,20,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,080de72a
368,Deiver Machado,co COL,DFMF,Lens,27,1993,5.8,16,2.75,12,0,0,0,1,3,1,0.17,1,0,0,0,0,0,Matches,b3f8bdef
369,Yvann Macon,fr FRA,DF,Saint-Étienne,22,1998,17.0,28,1.65,23,1,1,1,1,1,3,0.18,2,0,0,1,0,0,Matches,0bb6e193
370,Louis Mafouta,cf CTA,FW,Metz,27,1994,5.8,11,1.88,9,0,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches,bec3d251
371,Hugo Magnetti,fr FRA,MF,Brest,23,1998,16.3,20,1.23,15,1,0,2,0,2,2,0.12,0,0,0,2,0,0,Matches,d4d35152
372,Yohann Magnin,fr FRA,MFDF,Clermont Foot,24,1997,19.1,27,1.42,22,0,0,2,2,1,2,0.10,1,0,0,0,1,0,Matches,caa7aaea
373,Habib Maïga,ci CIV,MF,Metz,25,1996,14.1,28,1.99,23,0,0,2,0,3,1,0.07,1,0,0,0,0,0,Matches,e768de1f
374,Josh Maja,ng NGA,FW,Bordeaux,22,1998,0.1,2,20.00,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,bc0bfc64
375,Abdul Majeed Waris,gh GHA,FWMF,Strasbourg,29,1991,3.6,11,3.03,8,0,2,0,1,0,2,0.55,1,0,1,0,0,0,Matches,46907171
376,Lovro Majer,hr CRO,MFFW,Rennes,23,1998,20.4,102,5.01,65,20,3,5,7,2,20,0.98,17,3,0,0,0,0,Matches,fc46aab1
377,Béni Makouana,cg CGO,FWMF,Montpellier,18,2002,3.6,7,1.94,6,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,654f49ca
378,Hianga Mananga Mbock,fr FRA,MF,Brest,21,1999,8.9,6,0.68,4,0,0,0,1,1,1,0.11,1,0,0,0,0,0,Matches,0f86995c
379,Vincent Manceau,fr FRA,DF,Angers,32,1989,26.2,12,0.46,12,0,0,0,0,0,4,0.15,4,0,0,0,0,0,Matches,c26a3918
380,Steve Mandanda,fr FRA,GK,Marseille,36,1985,9.0,3,0.33,1,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,1d2d5cc8
381,Reinildo Mandava,mz MOZ,DF,Lille,27,1994,16.9,25,1.47,14,0,5,2,2,2,3,0.18,2,0,0,0,1,0,Matches,c20bdcd7
382,Anthony Mandrea,dz ALG,GK,Angers,24,1996,10.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,f7d3a773
383,Eliaquim Mangala,fr FRA,DF,Saint-Étienne,30,1991,13.1,2,0.15,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches,f520049f
